district,okrug,is_new_moscow,n_secondary,lat,lon,to_center_km,avg_price_sqm_all,avg_price_sqm_no_premium,n_premium_secondary,n_rentals,avg_rent_sqm_all,avg_rent_sqm_no_premium,n_new_builds,avg_newbuild_sqm_all,payback_years,avg_newbuild_sqm_no_premium,newbuild_premium_pct,official_avg_price,official_diff_pct,n_matched_to_official,moscow_part,recommendation
Brateyevo,YuAO,False,405,55.64348,37.75666,14.99,134607.0,134607.0,0,176,686.0,686.0,61,152770.0,16.4,152770.0,13.5,228431.0,-41.3,405,Старая Москва,нейтрально
Butyrsky,SVAO,False,384,55.8166,37.59009,7.32,208352.0,208352.0,0,140,929.0,929.0,0,,18.7,,,299422.0,-29.9,384,Старая Москва,выгодно снимать
Chertanovo Severnoye,YuAO,False,390,55.65092,37.60949,11.53,179961.0,179961.0,0,165,873.0,873.0,0,,17.2,,,253805.0,-30.3,390,Старая Москва,нейтрально
Chertanovo Tsentralnoye,YuAO,False,366,55.63193,37.6026,13.66,150237.0,150237.0,0,148,732.0,732.0,37,208781.0,17.1,208781.0,39.0,245279.0,-38.7,366,Старая Москва,нейтрально
Chertanovo Yuzhnoye,YuAO,False,390,55.60191,37.60395,16.97,185672.0,185672.0,0,148,988.0,988.0,0,,15.7,,,230232.0,-19.7,390,Старая Москва,выгодно покупать
Cheryomushki,YuZAO,False,398,55.67241,37.55692,9.97,286080.0,279980.0,17,150,1400.0,1338.0,130,381545.0,17.4,317564.0,13.4,358736.0,-22.1,398,Старая Москва,нейтрально
Danilovsky,YuAO,False,357,55.70808,37.63667,5.31,227415.0,227415.0,0,155,1007.0,1007.0,41,365854.0,18.8,365854.0,60.9,322953.0,-30.3,357,Старая Москва,выгодно снимать
Desyonovskoye,NAO,True,414,55.52042,37.47111,27.63,99676.0,99676.0,0,160,560.0,560.0,26,122073.0,14.8,122073.0,22.5,188744.0,-47.2,414,Новая Москва,нейтрально
Dmitrovsky,SAO,False,371,55.87866,37.53804,14.85,139507.0,139507.0,0,166,730.0,730.0,54,189091.0,15.9,189091.0,35.5,239201.0,-42.2,371,Старая Москва,выгодно покупать
Donskoy,YuAO,False,366,55.70967,37.60768,5.12,246618.0,245460.0,3,169,1064.0,1055.0,132,349492.0,19.4,318551.0,29.8,339964.0,-26.9,366,Старая Москва,выгодно снимать
Dorogomilovo,ZAO,False,404,55.74003,37.5537,4.64,367383.0,326781.0,120,191,1664.0,1495.0,86,431759.0,18.2,428235.0,31.0,512931.0,-28.0,404,Старая Москва,выгодно снимать
Fili-Davydkovo,ZAO,False,402,55.73926,37.47248,9.52,259067.0,255830.0,7,149,1213.0,1202.0,24,280600.0,17.7,280600.0,9.7,386267.0,-32.5,402,Старая Москва,нейтрально
Filimonkovskoye,NAO,True,401,55.56247,37.38201,26.05,90070.0,90070.0,0,135,499.0,499.0,141,175231.0,15.0,175231.0,94.6,167430.0,-46.3,401,Новая Москва,нейтрально
Filyovsky Park,ZAO,False,402,55.74479,37.48201,8.84,279129.0,273874.0,13,142,1321.0,1269.0,0,,18.0,,,406650.0,-31.1,402,Старая Москва,выгодно снимать
Gagarinsky,YuZAO,False,383,55.70333,37.5712,6.53,309877.0,294107.0,34,151,1435.0,1351.0,100,411280.0,18.1,392685.0,33.5,445520.0,-30.6,383,Старая Москва,выгодно снимать
Golovinsky,SAO,False,403,55.8426,37.49761,12.57,168569.0,168569.0,0,164,820.0,820.0,35,220471.0,17.1,220471.0,30.8,265462.0,-36.3,403,Старая Москва,нейтрально
Golyanovo,VAO,False,378,55.81823,37.79777,13.24,155189.0,155189.0,0,159,777.0,777.0,0,,16.6,,,235555.0,-34.7,378,Старая Москва,нейтрально
Ivanovskoye,VAO,False,377,55.76635,37.82397,12.85,153485.0,153485.0,0,123,737.0,737.0,102,236682.0,17.4,236682.0,54.2,243582.0,-37.1,377,Старая Москва,нейтрально
Izmaylovo,VAO,False,383,55.79359,37.76969,10.39,186771.0,186771.0,0,153,901.0,901.0,116,266271.0,17.3,266271.0,42.6,282124.0,-33.4,383,Старая Москва,нейтрально
Khamovniki,CAO,False,391,55.73255,37.57821,3.84,533016.0,371482.0,342,142,2243.0,1677.0,34,529976.0,18.5,489256.0,31.7,702116.0,-24.3,391,Старая Москва,выгодно снимать
Khoroshyovo-Mnyovniki,SZAO,False,361,55.77798,37.4747,9.62,229263.0,228640.0,1,171,1078.0,1078.0,28,382621.0,17.7,382621.0,67.3,360256.0,-36.6,361,Старая Москва,нейтрально
Khoroshyovsky,SAO,False,392,55.77941,37.52967,6.49,268752.0,265937.0,7,153,1218.0,1207.0,77,302125.0,18.4,302125.0,13.6,368211.0,-27.1,392,Старая Москва,выгодно снимать
Khovrino,SAO,False,381,55.87398,37.48862,15.75,143824.0,143824.0,0,165,742.0,742.0,74,276681.0,16.2,276681.0,92.4,247772.0,-41.8,381,Старая Москва,выгодно покупать
Kievsky,TAO,True,400,55.39469,36.75432,67.56,52085.0,52085.0,0,156,295.0,295.0,128,83368.0,14.7,83368.0,60.1,99286.0,-47.5,400,Новая Москва,нейтрально
Klyonovskoye,TAO,True,413,55.26445,37.48154,55.14,52713.0,52713.0,0,175,290.0,290.0,35,78237.0,15.1,78237.0,48.4,99412.0,-47.0,413,Новая Москва,нейтрально
Kokoshkino,NAO,True,374,55.64943,37.20398,28.61,85459.0,85459.0,0,150,487.0,487.0,0,,14.6,,,161500.0,-46.4,374,Новая Москва,выгодно покупать
Konkovo,YuZAO,False,414,55.63954,37.5223,14.18,206175.0,206175.0,0,143,978.0,978.0,84,310018.0,17.6,310018.0,50.4,329322.0,-37.2,414,Старая Москва,нейтрально
Koptevo,SAO,False,357,55.8446,37.52002,11.95,165727.0,165727.0,0,166,806.0,806.0,54,207983.0,17.1,207983.0,25.5,273149.0,-39.3,357,Старая Москва,нейтрально
Kosino-Ukhtomsky,VAO,False,393,55.71885,37.85029,14.94,134303.0,134303.0,0,136,683.0,683.0,100,189651.0,16.4,189651.0,41.2,227128.0,-40.7,393,Старая Москва,нейтрально
Kotlovka,YuZAO,False,382,55.67208,37.59697,9.29,236651.0,236188.0,1,173,1131.0,1120.0,0,,17.6,,,351599.0,-32.0,382,Старая Москва,нейтрально
Krasnopakhorskoye,TAO,True,407,55.44007,37.29353,40.52,62763.0,62763.0,0,171,343.0,343.0,53,88053.0,15.2,88053.0,40.3,116953.0,-47.0,407,Новая Москва,нейтрально
Krasnoselsky,CAO,False,358,55.77965,37.65885,3.94,363833.0,320696.0,101,150,1639.0,1453.0,0,,18.4,,,487824.0,-25.7,358,Старая Москва,выгодно снимать
Krylatskoye,SZAO,False,354,55.75782,37.41381,13.02,256954.0,254008.0,6,169,1314.0,1301.0,53,282075.0,16.3,282075.0,11.0,414178.0,-37.3,354,Старая Москва,выгодно покупать
Kuntsevo,ZAO,False,369,55.72989,37.43684,11.89,223853.0,223853.0,0,137,1088.0,1088.0,107,335921.0,17.1,334574.0,49.5,360124.0,-37.8,369,Старая Москва,нейтрально
Kurkino,SZAO,False,387,55.8911,37.39462,20.83,191019.0,191019.0,0,163,997.0,997.0,70,314980.0,16.0,314980.0,64.9,341772.0,-44.4,387,Старая Москва,выгодно покупать
Levoberezhny,SAO,False,402,55.85749,37.46448,15.15,175221.0,175221.0,0,169,875.0,875.0,103,292584.0,16.7,292584.0,67.0,265366.0,-34.4,402,Старая Москва,нейтрально
Lianozovo,SVAO,False,374,55.90149,37.57987,16.65,140070.0,140070.0,0,137,710.0,710.0,0,,16.4,,,241016.0,-42.3,374,Старая Москва,нейтрально
Lomonosovsky,YuZAO,False,416,55.69193,37.54342,8.52,305356.0,290849.0,38,152,1474.0,1365.0,24,304908.0,17.8,304908.0,4.8,434767.0,-30.2,416,Старая Москва,нейтрально
Losinoostrovsky,SVAO,False,403,55.87445,37.70431,14.43,151665.0,151665.0,0,155,773.0,773.0,44,203850.0,16.4,203850.0,34.4,256247.0,-40.3,403,Старая Москва,нейтрально
Marfino,SVAO,False,377,55.84264,37.58863,10.13,166115.0,166115.0,0,165,784.0,784.0,128,191160.0,17.7,191160.0,15.1,263593.0,-36.4,377,Старая Москва,нейтрально
Marushkinskoye,NAO,True,392,55.58092,37.23561,30.91,81356.0,81356.0,0,174,471.0,471.0,105,122793.0,14.4,122793.0,50.9,154692.0,-47.4,392,Новая Москва,выгодно покупать
Maryina Roshcha,SVAO,False,340,55.7934,37.60947,4.6,222624.0,221983.0,1,161,966.0,961.0,26,275719.0,19.2,275719.0,24.2,314275.0,-29.0,340,Старая Москва,выгодно снимать
Meshchansky,CAO,False,401,55.77822,37.63517,3.13,404434.0,335064.0,179,146,1813.0,1511.0,274,443264.0,18.5,395310.0,18.0,508021.0,-20.4,401,Старая Москва,выгодно снимать
Metrogorodok,VAO,False,367,55.82313,37.7475,11.11,156683.0,156683.0,0,161,733.0,733.0,43,194144.0,17.8,194144.0,23.9,234897.0,-32.8,367,Старая Москва,нейтрально
Mikhaylovo-Yartsevskoye,TAO,True,427,55.40895,37.21003,46.25,55560.0,55560.0,0,152,320.0,320.0,67,126545.0,14.4,126545.0,127.8,104937.0,-47.0,427,Новая Москва,выгодно покупать
Mitino,SZAO,False,372,55.84779,37.35752,19.53,194027.0,194027.0,0,168,1042.0,1042.0,102,207299.0,15.5,207299.0,6.8,288921.0,-32.8,372,Старая Москва,выгодно покупать
Molzhaninovsky,SAO,False,383,55.95418,37.41564,25.71,113362.0,113362.0,0,144,638.0,638.0,92,178954.0,14.8,178954.0,57.9,213053.0,-46.9,383,Старая Москва,выгодно покупать
Moskovsky,NAO,True,357,55.59851,37.35298,24.13,107208.0,107208.0,0,160,626.0,626.0,25,141184.0,14.3,141184.0,31.7,203679.0,-47.8,357,Новая Москва,выгодно покупать
Moskvorechye-Saburovo,YuAO,False,398,55.64706,37.67102,12.34,161341.0,161341.0,0,170,788.0,788.0,117,250215.0,17.1,250215.0,55.1,252552.0,-35.4,398,Старая Москва,нейтрально
Mosrentgen,NAO,True,362,55.61651,37.49758,17.16,146034.0,146034.0,0,149,743.0,743.0,165,208339.0,16.4,208339.0,42.7,203729.0,-29.9,362,Новая Москва,выгодно снимать
Mozhaysky,ZAO,False,347,55.7236,37.41552,13.35,204531.0,203948.0,1,141,995.0,995.0,0,,17.1,,,332157.0,-37.7,347,Старая Москва,нейтрально
Nagatino-Sadovniki,YuAO,False,362,55.68462,37.6631,8.23,193600.0,193600.0,0,161,876.0,876.0,38,226266.0,18.4,226266.0,16.9,285555.0,-32.2,362,Старая Москва,выгодно снимать
Nagatinsky Zaton,YuAO,False,386,55.68366,37.69673,9.22,192800.0,192800.0,0,156,899.0,899.0,27,205115.0,17.9,205115.0,6.4,301379.0,-36.4,386,Старая Москва,нейтрально
Nagorny,YuAO,False,384,55.67059,37.61391,9.35,219468.0,218739.0,1,155,1039.0,1039.0,0,,17.6,,,286733.0,-24.2,384,Старая Москва,нейтрально
Novo-Peredelkino,ZAO,False,376,55.66443,37.34501,19.97,150198.0,150198.0,0,134,806.0,806.0,84,274999.0,15.5,274999.0,83.1,273661.0,-44.7,376,Старая Москва,выгодно покупать
Novofyodorovskoye,TAO,True,391,55.33646,36.93484,63.39,53342.0,53342.0,0,164,295.0,295.0,100,85683.0,15.0,85683.0,60.6,99667.0,-45.8,391,Новая Москва,нейтрально
Novogireyevo,VAO,False,392,55.75135,37.79951,11.27,183237.0,183237.0,0,163,940.0,940.0,97,222441.0,16.2,222441.0,21.4,259067.0,-29.8,392,Старая Москва,выгодно покупать
Novokosino,VAO,False,404,55.74781,37.86534,15.38,147034.0,147034.0,0,162,720.0,720.0,58,196538.0,17.0,196538.0,33.7,243767.0,-39.6,404,Старая Москва,нейтрально
Obruchevsky,YuZAO,False,372,55.66192,37.54737,11.27,237646.0,237646.0,0,168,1201.0,1188.0,66,360664.0,16.7,360664.0,51.8,358638.0,-33.5,372,Старая Москва,нейтрально
Ochakovo-Matveyevskoye,ZAO,False,369,55.68964,37.4647,12.17,204159.0,204159.0,0,164,990.0,990.0,35,372880.0,17.2,372880.0,82.6,331245.0,-37.7,369,Старая Москва,нейтрально
Orekhovo-Borisovo Severnoye,YuAO,False,385,55.62658,37.71527,15.39,135571.0,135571.0,0,166,678.0,678.0,86,237209.0,16.7,237209.0,75.0,228937.0,-40.3,385,Старая Москва,нейтрально
Orekhovo-Borisovo Yuzhnoye,YuAO,False,419,55.61598,37.72269,16.65,131970.0,131970.0,0,137,677.0,677.0,72,208928.0,16.3,208928.0,58.3,230072.0,-42.3,419,Старая Москва,выгодно покупать
Ostankinsky,SVAO,False,386,55.82534,37.62525,8.03,213597.0,212795.0,1,153,1031.0,1024.0,55,258205.0,17.3,258205.0,21.3,314939.0,-32.2,386,Старая Москва,нейтрально
Otradnoye,SVAO,False,383,55.86396,37.61033,12.3,156246.0,156246.0,0,158,798.0,798.0,0,,16.3,,,265617.0,-40.1,383,Старая Москва,выгодно покупать
Perovo,VAO,False,394,55.75137,37.78585,10.42,215967.0,215476.0,1,159,1090.0,1085.0,34,193162.0,16.6,193162.0,-10.4,259021.0,-16.6,394,Старая Москва,нейтрально
Pervomayskoye,TAO,True,362,55.45714,37.07549,47.58,58465.0,58465.0,0,155,326.0,326.0,140,82857.0,15.0,82857.0,41.7,110616.0,-47.0,362,Новая Москва,нейтрально
Pokrovskoye-Streshnevo,SZAO,False,380,55.82018,37.45335,12.86,199966.0,199966.0,0,161,988.0,988.0,65,455720.0,16.9,422769.0,111.4,323362.0,-37.0,380,Старая Москва,нейтрально
Preobrazhenskoye,VAO,False,401,55.79515,37.71778,7.71,235591.0,234904.0,1,161,1158.0,1152.0,94,363545.0,17.0,356613.0,51.8,282128.0,-17.3,401,Старая Москва,нейтрально
Presnensky,CAO,False,396,55.76121,37.57752,3.15,499065.0,362263.0,303,155,2242.0,1579.0,53,547679.0,19.1,506212.0,39.7,627741.0,-20.4,396,Старая Москва,выгодно снимать
Prospekt Vernadskogo,ZAO,False,414,55.67055,37.50662,11.77,301854.0,286341.0,38,146,1493.0,1351.0,0,,17.7,,,435192.0,-30.5,414,Старая Москва,нейтрально
Ramenki,ZAO,False,380,55.70528,37.50412,9.18,286872.0,280857.0,14,161,1314.0,1294.0,0,,18.1,,,444267.0,-35.4,380,Старая Москва,выгодно снимать
Rogovskoye,TAO,True,351,55.27136,37.02673,65.42,52699.0,52699.0,0,165,288.0,288.0,71,73579.0,15.3,73579.0,39.6,99243.0,-46.5,351,Новая Москва,выгодно снимать
Rostokino,SVAO,False,414,55.8416,37.65095,10.01,167786.0,167786.0,0,155,812.0,812.0,97,225430.0,17.2,225430.0,34.4,263483.0,-36.1,414,Старая Москва,нейтрально
Ryazanovskoye,NAO,True,383,55.47294,37.50581,32.09,86108.0,86108.0,0,160,460.0,460.0,102,113140.0,15.6,113140.0,31.4,160626.0,-46.4,383,Новая Москва,выгодно снимать
Savyolovsky,SAO,False,372,55.79473,37.58259,5.25,233798.0,233093.0,2,154,1079.0,1079.0,31,289771.0,18.0,289771.0,24.3,339474.0,-30.4,372,Старая Москва,выгодно снимать
Severnoye Butovo,YuZAO,False,378,55.58118,37.5802,19.41,166454.0,166454.0,0,162,871.0,871.0,133,227207.0,15.9,227207.0,36.5,292451.0,-43.2,378,Старая Москва,выгодно покупать
Severnoye Izmaylovo,VAO,False,388,55.81293,37.80381,13.25,191770.0,191770.0,0,135,986.0,986.0,108,226126.0,16.2,226126.0,17.9,260021.0,-26.3,388,Старая Москва,выгодно покупать
Severnoye Medvedkovo,SVAO,False,405,55.88602,37.63852,14.78,153208.0,153208.0,0,161,754.0,754.0,40,205353.0,16.9,205353.0,34.0,257020.0,-40.7,405,Старая Москва,нейтрально
Severnoye Tushino,SZAO,False,405,55.85398,37.43566,16.1,172176.0,172176.0,0,155,904.0,904.0,88,211348.0,15.9,211348.0,22.8,295818.0,-41.9,405,Старая Москва,выгодно покупать
Severny,SVAO,False,410,55.93142,37.57542,19.97,121340.0,121340.0,0,139,665.0,665.0,35,176623.0,15.2,176623.0,45.6,224713.0,-45.7,410,Старая Москва,выгодно покупать
Shchapovskoye,TAO,True,386,55.37591,37.5174,42.55,56244.0,56244.0,0,155,319.0,319.0,57,85339.0,14.7,85339.0,51.7,105376.0,-46.5,386,Новая Москва,нейтрально
Shcherbinka,NAO,True,375,55.50161,37.56192,28.32,102309.0,102309.0,0,148,562.0,562.0,81,151651.0,15.2,151651.0,48.2,188891.0,-46.3,375,Новая Москва,нейтрально
Shchukino,SZAO,False,395,55.80643,37.4664,11.36,276267.0,269084.0,19,158,1319.0,1271.0,99,306597.0,17.6,306597.0,13.9,360078.0,-23.2,395,Старая Москва,нейтрально
Sokol,SAO,False,408,55.80558,37.51045,9.06,262794.0,259109.0,8,167,1249.0,1212.0,70,269576.0,17.8,269576.0,4.0,352397.0,-24.6,408,Старая Москва,нейтрально
Sokolinaya Gora,VAO,False,375,55.77729,37.73933,7.97,173178.0,173178.0,0,157,814.0,814.0,180,259169.0,17.7,259169.0,49.7,258159.0,-33.2,375,Старая Москва,нейтрально
Sokolniki,VAO,False,350,55.7915,37.67939,5.71,234080.0,233234.0,1,164,1086.0,1071.0,126,301340.0,18.2,301340.0,29.2,307788.0,-24.2,350,Старая Москва,выгодно снимать
Solntsevo,ZAO,False,404,55.65043,37.39063,18.49,164368.0,164368.0,0,172,890.0,890.0,32,197078.0,15.4,197078.0,19.9,291688.0,-43.8,404,Старая Москва,выгодно покупать
Sosenskoye,NAO,True,388,55.5574,37.4276,25.01,106685.0,106685.0,0,142,606.0,606.0,30,227917.0,14.7,227917.0,113.6,204257.0,-47.2,388,Новая Москва,нейтрально
Strogino,SZAO,False,390,55.80398,37.40335,14.76,304246.0,293963.0,25,146,1552.0,1450.0,62,428608.0,16.9,424285.0,44.3,370200.0,-18.0,390,Старая Москва,нейтрально
Sviblovo,SVAO,False,406,55.85278,37.64453,11.15,187914.0,187914.0,0,153,917.0,917.0,86,227574.0,17.1,227574.0,21.1,257260.0,-27.0,406,Старая Москва,нейтрально
Tagansky,CAO,False,372,55.73958,37.66755,3.59,364963.0,328375.0,100,152,1606.0,1497.0,0,,18.3,,,497257.0,-26.9,372,Старая Москва,выгодно снимать
Timiryazevsky,SAO,False,421,55.81595,37.5657,7.81,219224.0,217432.0,3,146,1013.0,1013.0,80,297941.0,17.9,297941.0,37.0,307200.0,-28.8,421,Старая Москва,нейтрально
Troitsk,TAO,True,391,55.47913,37.30306,36.51,75951.0,75951.0,0,149,409.0,409.0,0,,15.5,,,140246.0,-46.9,391,Новая Москва,выгодно снимать
Troparyovo-Nikulino,ZAO,False,369,55.65802,37.47156,14.24,273354.0,268742.0,10,149,1380.0,1298.0,60,337288.0,17.3,337288.0,25.5,389545.0,-28.8,369,Старая Москва,нейтрально
Tsaritsyno,YuAO,False,415,55.6214,37.68565,15.33,147479.0,147479.0,0,145,778.0,778.0,0,,15.8,,,245783.0,-39.7,415,Старая Москва,выгодно покупать
Tverskoy,CAO,False,395,55.77024,37.6084,2.37,516582.0,380083.0,331,139,2346.0,1675.0,60,537988.0,18.9,477178.0,25.5,646622.0,-20.7,395,Старая Москва,выгодно снимать
Tyoply Stan,YuZAO,False,414,55.62131,37.48606,17.03,194527.0,194527.0,0,171,976.0,976.0,0,,16.6,,,302641.0,-35.9,414,Старая Москва,нейтрально
Veshnyaki,VAO,False,386,55.73213,37.81576,12.5,139652.0,139652.0,0,129,738.0,738.0,89,244240.0,15.8,244240.0,74.9,234537.0,-40.1,386,Старая Москва,выгодно покупать
Vnukovo,ZAO,False,381,55.63817,37.27291,25.35,141745.0,141745.0,0,163,774.0,774.0,58,196102.0,15.3,196102.0,38.3,264868.0,-46.5,381,Старая Москва,выгодно покупать
Vnukovskoye,NAO,True,346,55.64214,37.32116,22.55,109940.0,109940.0,0,146,612.0,612.0,56,271854.0,15.0,271854.0,147.3,204287.0,-45.5,346,Новая Москва,нейтрально
Voronovskoye,TAO,True,422,55.30031,37.19911,57.01,56012.0,56012.0,0,148,317.0,317.0,100,97113.0,14.7,97113.0,73.4,104971.0,-46.5,422,Новая Москва,нейтрально
Voskresenskoye,NAO,True,375,55.57258,37.42284,23.71,100724.0,100724.0,0,158,564.0,564.0,24,210629.0,14.9,210629.0,109.1,189672.0,-46.8,375,Новая Москва,нейтрально
Vostochnoye Izmaylovo,VAO,False,375,55.79538,37.81978,13.35,168275.0,168275.0,0,159,799.0,799.0,21,244210.0,17.5,244210.0,45.1,260465.0,-35.4,375,Старая Москва,нейтрально
Vostochny,VAO,False,351,55.81518,37.85896,16.42,131411.0,131411.0,0,148,638.0,638.0,124,182181.0,17.2,182181.0,38.6,218201.0,-40.5,351,Старая Москва,нейтрально
Voykovsky,SAO,False,408,55.82043,37.50473,10.44,218059.0,218059.0,0,164,1017.0,1011.0,29,237228.0,18.0,237228.0,8.8,291282.0,-26.4,408,Старая Москва,выгодно снимать
Yakimanka,CAO,False,381,55.73187,37.60855,2.88,487175.0,364659.0,299,128,2174.0,1574.0,89,568490.0,19.3,501303.0,37.5,636734.0,-23.1,381,Старая Москва,выгодно снимать
Yaroslavsky,SVAO,False,365,55.87383,37.70815,14.46,144037.0,144037.0,0,140,757.0,757.0,79,199643.0,15.9,199643.0,38.6,247608.0,-41.3,365,Старая Москва,выгодно покупать
Yasenevo,YuZAO,False,430,55.60492,37.53315,17.49,264295.0,261502.0,6,151,1413.0,1353.0,84,304935.0,16.1,304935.0,16.6,331184.0,-19.5,430,Старая Москва,выгодно покупать
Yuzhnoye Butovo,YuZAO,False,378,55.54462,37.54774,23.74,146251.0,146251.0,0,155,801.0,801.0,38,224282.0,15.2,224282.0,53.4,273557.0,-46.1,378,Старая Москва,выгодно покупать
Yuzhnoye Medvedkovo,SVAO,False,395,55.87706,37.64295,13.82,152124.0,152124.0,0,160,760.0,760.0,27,179419.0,16.7,179419.0,17.9,255630.0,-40.6,395,Старая Москва,нейтрально
Yuzhnoye Tushino,SZAO,False,377,55.83838,37.43525,14.97,184026.0,184026.0,0,165,893.0,893.0,94,333015.0,17.2,328280.0,78.4,305816.0,-40.5,377,Старая Москва,нейтрально
Zamoskvorechye,CAO,False,408,55.73674,37.63164,2.44,426046.0,351347.0,216,148,1954.0,1585.0,58,449310.0,18.5,433588.0,23.4,564166.0,-25.3,408,Старая Москва,выгодно снимать
Zapadnoye Degunino,SAO,False,366,55.86046,37.52227,13.41,147462.0,147462.0,0,152,744.0,744.0,57,211546.0,16.5,211546.0,43.5,247372.0,-40.5,366,Старая Москва,нейтрально
Zelenograd,ZelAO,True,361,55.98639,37.19363,37.15,89312.0,89312.0,0,137,491.0,491.0,132,124095.0,15.2,124095.0,38.9,168926.0,-47.8,361,Новая Москва,нейтрально
Zyablikovo,YuAO,False,382,55.61658,37.74431,17.15,133295.0,133295.0,0,175,676.0,676.0,43,183151.0,16.4,183151.0,37.4,228801.0,-42.1,382,Старая Москва,нейтрально
Zyuzino,YuZAO,False,375,55.6583,37.57361,11.09,218029.0,218029.0,0,161,1091.0,1087.0,89,293547.0,16.7,293547.0,34.6,339993.0,-36.0,375,Старая Москва,нейтрально
